hist_period,established_year,continent,region,country,picture,location,type_site,culture,unesco_whs,type_icon,latitude,longitude
MID PALEOLITHIC,-379000,Africa,"Africa, North Africa",Morocco,homosapiens_0607_main.jpg,Jebel Irhoud,cave.svg,,,Settlement.svg,31.855,-8.8725
MID PALEOLITHIC,-316000,Asia,"Asia, West Asia",Turkey,dna.jpg,Western Eurasia,DNA.svg,,,Settlement.svg,39,39
MID PALEOLITHIC,-259000,Africa,South Africa,South Africa,Florisbad.jpg,Florisbad,thermal spring.svg,,PHS,Settlement.svg,-28.766667,26.066667
MID PALEOLITHIC,-250000,Asia,"Asia, Southeast Asia",India,Attirampakkam.png,Attirampakkam,type site.svg,,,Settlement.svg,13.230556,79.888889
MID PALEOLITHIC,-210000,Europe,Mediterranean,Greece,Apidima Cave.jpg,Apidima Cave,cave.svg,,,Settlement.svg,36.661389,22.36333
MID PALEOLITHIC,-200000,Africa,"Africa, Horn of Africa",Ethiopia,Omo Kibish Formation.jpg,Omo Kibish Formation,formation.svg,,,Settlement.svg,4.800353,35.967069
MID PALEOLITHIC,-200000,Africa,"Africa, Southern Africa",South Africa,Klasies River Caves.jpg,Klasies River Caves,cave.svg,,,Settlement.svg,-34.108103,24.390139
MID PALEOLITHIC,-195000,Asia,"Asia, West Asia",Israel,Misliya Cave.jpg,Misliya Cave,cave.svg,Levallois,,Settlement.svg,32.7413,34.9724
MID PALEOLITHIC,-160000,Africa,"Africa, East Africa",Sudan,Singa.png,Singa,river.svg,,,Settlement.svg,13.15,33.933333
MID PALEOLITHIC,-125000,Asia,"Asia, West Asia, Arabia",United Arab Emirates,Jebel Faya.jpg,Jebel Faya,rock shelter.svg,,,Settlement.svg,25.119,55.847
MID PALEOLITHIC,-125000,Asia,"Asia, West Asia, Arabia",Oman,Aybut Al Auwal.jpg,Aybut Al Auwal,river.svg,Nubian Complex,,Settlement.svg,17.5,54.3
MID PALEOLITHIC,-90000,Africa,"Africa, Central Africa",DR Congo,Katanda Semliki River.jpg,Katanda Semliki River,river.svg,,,Settlement.svg,1.2625,30.462778
MID PALEOLITHIC,-80000,Asia,"Asia, Southeast Asia",India,Middle Son River.jpg,Middle Son River,river.svg,,,Settlement.svg,24.499167,82
MID PALEOLITHIC,-80000,Asia,"Asia, East Asia",China,Fuyan Cave.jpg,Fuyan Cave,cave.svg,,,Settlement.svg,25.65075,111.480333
MID PALEOLITHIC,-80000,Africa,"Africa, North Africa",Libya,Haua Fteah Cave.jpg,Haua Fteah Cave,coast.svg,,,Settlement.svg,32.899722,22.051389
MID PALEOLITHIC,-72000,Asia,"Asia, Southeast Asia",Indonesia,Lida Ajer Cave.jpg,Lida Ajer Cave,cave.svg,,,Settlement.svg,-0.318004,100.589405
MID PALEOLITHIC,-69000,Asia,"Asia, South Asia",Sri Lanka,dna.jpg,South Asia,DNA.svg,,,Settlement.svg,0,0
MID PALEOLITHIC,-63000,Australia,Australia,Australia,Madjedbebe.jpg,Madjedbebe,rock shelter.svg,,,Settlement.svg,-12.5,132.883333
MID PALEOLITHIC,-54000,South America,South America,Brazil,Pedra Furada.jpg,Pedra Furada,rock shelter.svg,,,Settlement.svg,-8.833333,-42.553333
MID PALEOLITHIC,-48000,Africa,"Africa, North Africa",Egypt,Taramsa Hill.png,Taramsa Hill,hills.svg,,,Settlement.svg,26.121475,32.667357
UPPER PALEOLITHIC,-45000,Asia,"Asia, East Asia",Japan,Nojiri Lake.jpg,Nojiri Lake,lake.svg,,,Settlement.svg,36.826389,138.221944
UPPER PALEOLITHIC,-44000,Asia,"Asia, Southeast Asia, Indochina",Laos,Tam Pa Ling Cave.jpg,Tam Pa Ling Cave,cave.svg,,,Settlement.svg,20.208611,103.409722
UPPER PALEOLITHIC,-44000,Asia,"Asia, Southeast Asia",Malaysia,Niah Cave.jpg,Niah Cave,cave.svg,,,Settlement.svg,3.813889,113.781389
UPPER PALEOLITHIC,-44000,Europe,Europe,Bulgaria,Bacho Kiro Cave.jpg,Bacho Kiro Cave,cave.svg,,,Settlement.svg,42.946667,25.430278
UPPER PALEOLITHIC,-43000,Europe,Europe,Italy,Grotta del Cavallo.jpg,Grotta del Cavallo,coast.svg,,,Settlement.svg,40.155,17.96
UPPER PALEOLITHIC,-42000,Europe,Europe,United Kingdom,Kents Cavern.jpg,Kents Cavern,cave.svg,,,Settlement.svg,50.4682,-3.503
UPPER PALEOLITHIC,-41000,Europe,Europe,Germany,Geissenklosterle.jpg,Geissen-klosterle,artifact.svg,,,Settlement.svg,48.398333,9.772222
UPPER PALEOLITHIC,-41000,Europe,"Europe, Baltic",Lithuania,Snaukstai.png,Snaukstai,artifact.svg,,,Settlement.svg,55.661,21.406
UPPER PALEOLITHIC,-40000,Asia,"Asia, Southeast Asia",East Timor,Jerimalai Cave.jpg,Jerimalai Cave,coast.svg,,,Settlement.svg,-8.393889,127.268333
UPPER PALEOLITHIC,-40000,Europe,Europe,Romania,Pestera cu Oase.jpg,Pestera cu Oase,cave.svg,,,Settlement.svg,45.016667,21.833333
UPPER PALEOLITHIC,-39000,Australia,Australia,Tasmania,Jordan River Levee.jpg,Jordan River Levee,river.svg,,,Settlement.svg,-42.704779,147.265745
UPPER PALEOLITHIC,-38000,Asia,"Asia, Southeast Asia",New Guinea,dna.jpg,Western New Guinea,DNA.svg,,,Settlement.svg,0,0
UPPER PALEOLITHIC,-38000,Europe,Europe,Russian Federation,Mamontovaya Kurya.jpg,Mamontovaya Kurya,river.svg,,,Settlement.svg,66.566667,62.416667
UPPER PALEOLITHIC,-38000,North America,North America,Canada,Bluefish Caves.jpg,Bluefish Caves,cave.svg,,,Settlement.svg,67.15,-140.583333
UPPER PALEOLITHIC,-36000,Asia,"Asia, Central Asia, Tibetan Plateau",China,Tibetan Plateau.jpg,Tibetan Plateau,DNA.svg,,,Settlement.svg,0,0
UPPER PALEOLITHIC,-32000,Asia,"Asia, South Asia",Sri Lanka,Fa Hien Cave.jpg,Fa Hien Cave,cave.svg,,,Settlement.svg,6.601667,80.218333
UPPER PALEOLITHIC,-31000,Europe,Europe,Austria,Willendorf.jpg,Willendorf,artifact.svg,,,Settlement.svg,48.316667,15.383333
UPPER PALEOLITHIC,-30000,Asia,"Asia, East Asia",Japan,Yamashita-cho First Cave.jpg,Yamashita-cho First Cave,cave.svg,,,Settlement.svg,26.200833,127.672839
UPPER PALEOLITHIC,-30000,Europe,Europe,France,Chauvethorses.jpg,Grotte Chauvet-Pont d'Arc,cave.svg,,WHS.png,Settlement.svg,44.3875,4.414167
UPPER PALEOLITHIC,-29000,Europe,Europe,Czech Republic,Mladec Caves.jpg,Mladec Caves,cave.svg,,,Settlement.svg,49.706389,17.016667
UPPER PALEOLITHIC,-28000,Europe,Europe,Poland,Oblazowa Cave.jpg,Oblazowa Cave,cave.svg,,,Settlement.svg,49.428686,20.125753
UPPER PALEOLITHIC,-26000,Asia,"Asia, Southeast Asia",New Guinea,Kilu Cave.png,Kilu Cave,coast.svg,,,Settlement.svg,-5.335556,154.687222
UPPER PALEOLITHIC,-23000,Europe,Europe,France,Brassempouy.jpg,la Grotte du Pape,artifact.svg,,,Settlement.svg,43.628611,0.710278
UPPER PALEOLITHIC,-22000,Europe,Europe,Portugal,Abrigo do Lagar Velho.png,Abrigo do Lagar Velho,rock shelter.svg,,,Settlement.svg,39.755392,-8.735256
UPPER PALEOLITHIC,-20000,North America,North America,United States,Lake Otero.jpg,Lake Otero,lake.svg,,,Settlement.svg,32.779167,106.171944
UPPER PALEOLITHIC,-18000,Europe,Europe,Italy,San Teodoro Cave.jpg,San Teodoro cave,cave.svg,,,Settlement.svg,38.05,14.591319
UPPER PALEOLITHIC,-16000,South America,South America,Chile,Monte Verde.jpg,Monte Verde,river.svg,,,Settlement.svg,-41.504722,-73.204444
UPPER PALEOLITHIC,-12000,South America,South America,Peru,Cueva de Pikimachay.jpg,Cueva de Pikimachay,cave.svg,,,Settlement.svg,-13.040833,-74.224167
UPPER PALEOLITHIC,-11000,North America,North America,Santa Rosa Island,Arlington Springs.jpg,Arlington Springs,coast.svg,,,Settlement.svg,33.973337,120.1070
HOLOCENE,-10500,Europe,"Europe, British Isles",Ireland,Alice and Gwendoline Cave.jpg,Alice and Gwendoline Cave,cave.svg,,,Settlement.svg,52.81765,-9.009355
HOLOCENE,-10500,Europe,Mediterranean,Cyprus,Aetokremnos.jpg,Aetokremnos,rock shelter.svg,,,Settlement.svg,34.570556,32.990556
HOLOCENE,-10500,South America,"Americas, South America",Colombia,El Abra.jpg,El Abra,rock shelter.svg,,,Settlement.svg,5.017358,-73.951203
HOLOCENE,-10000,North America,"Americas, North America",Canada,Triquet Island.jpg,Triquet Island,coast.svg,,,Settlement.svg,51.8,-128.25
HOLOCENE,-9000,Asia,"Asia, West Asia",Palestine,Ain Sakhri Cave.jpg,Ain Sakhri Caves Betlehem,artifact.svg,,,Settlement.svg,31.5847,35.3631
HOLOCENE,-9000,Europe,"Europe, Scandinavia",Norway,Aukra.jpg,Aukra,coast.svg,,,Settlement.svg,62.828611,6.845833
HOLOCENE,-9000,South America,"Americas, South America",Argentina,Piedra Museo.png,Piedra Museo,rock shelter.svg,,,Settlement.svg,-47.669935,-67.999924
HOLOCENE,-9000,Europe,"Europe, Baltic",Estonia,Pulli.jpg,Pulli,river.svg,,,Settlement.svg,58.4192,24.6756
HOLOCENE,-8000,Africa,Atlantic / Central Africa,Equatorial Guinea,Bioko.png,Bioko,DNA.svg,,,Settlement.svg,3.5,8.7
HOLOCENE,-7000,Asia,"Asia, Southeast Asia, Indochina",Cambodia,Laang Spean.png,Laang Spean,cave.svg,,,Settlement.svg,12.85,102.91666
HOLOCENE,-7000,Asia,"Asia, West Asis",Lebanon,Byblos.jpg,Byblos,coast.svg,,,Settlement.svg,34.120428,35.649109
HOLOCENE,-6300,Asia,Arctic,Russian Federation,Zhokov Island.jpg,Zhokhov Island,coast.svg,,,Settlement.svg,76.141111,152.73305
HOLOCENE,-6000,Asia,Madhya Pradesh,India,Bhimbetka.jpg,Bhimbetka,rock shelter.svg,Acheulian,WHS.png,Settlement.svg,22.938415,77.613085
HOLOCENE,-5250,Europe,Mediterranean,Malta,Ghar Dalam.jpg,Ghar Dalam,cave.svg,,,Settlement.svg,35.836417,14.528028
HOLOCENE,-5000,South America,"Americas, Caribbean",Trinidad,Banwari Trace.jpg,Banwari Trace,river.svg,,,Settlement.svg,10.1755556,-61.4786
HOLOCENE,-4000,,"Americas, Caribbean",Puerto Rico,Angostura Site.jpg,Angostura Site,burial.jpg,,,Settlement.svg,18.2,-66.5
HOLOCENE,-2000,North America,"Arctic, North America",Greenland,Saqqaq.jpg,Saqqaq,DNA.svg,Saqqaq,,Settlement.svg,70.009722,-51.945833
HOLOCENE,-2000,North America,"Arctic, North America",Canada,Pond Inlet.jpg,Pond Inlet,coast.svg,Pre-Dorset,,Settlement.svg,72.7,-77.961
HOLOCENE,-1800,Asia,"Asia, Central Asia",China,Tarim Basin.jpg,Tarim Basin,mummies.svg,,,Settlement.svg,40.336453,88.672422
HOLOCENE,-1800,,"Asia, Central Asia",China,Xiaohe Cemetery.jpg,Xiaohe Cemetery,mummies.svg,,,Settlement.svg,40.3364,88.6725
HOLOCENE,-1500,Asia,Pacific,USA,Unai Bapot.jpg,Unai Bapot Saipan,coast.svg,Chamorro,,Settlement.svg,15.183333,145.75
HOLOCENE,-1400,Asia,"Arctic, Siberia",Russian Federation,Chertov Ovrag.jpg,Chertov Ovrag,coast.svg,Paleo-Eskimo,,Settlement.svg,71,179.883
HOLOCENE,-1180,,Pacific,Tonga,Pea village on Tongatapu.jpg,Pea village on Tongatapu,coast.svg,Lapita,,Settlement.svg,-21.211389,-175.15305
HOLOCENE,-1000,,Pacific,Fiji,Bourewa.png,Bourewa Nadroga,coast.svg,Lapita,,Settlement.svg,-18,177.6667
HOLOCENE,-1000,Europe,Atlantic / North Africa,Canary Islands,Canary Islands.jpg,Canary Islands,DNA.svg,Amazigh,,Settlement.svg,28.268611,-16.605556
