Name,Location,Latitude,Longitude,Elevation,Morphology,Status,Time of Last Eruption,OBJECTID,ID,Country,OID,x,y
Yanteles,Chile-S,-43.469,-72.782,1790,Stratovolcano,Historical,D3,1729,150805,Chile,1,-8105172.12465825,-5387928.88961674
"Tujle, Cerro",Chile-N,-23.83,-67.95,3550,Stratovolcano,Holocene,U,1730,1505103,Chile,3,-7564159.39940294,-2732706.50957534
Miniques,Chile-N,-23.82,-67.77,5910,Stratovolcano,Holocene,U,1731,1505102,Chile,4,-7544121.89106015,-2731489.6151858
Cordon del Azufre,Chile-N,-25.336,-68.521,5481,Complex volcano,Holocene,U,1732,1505121,Argentina,5,-7627722.8286459,-2917071.42198411
Coronado,Mexico,29.08,-113.513,440,Stratovolcano,Fumarolic,U,1733,1401005,Mexico,6,-12636209.3584169,3385832.18799378
"Auquihuato, Cerro",Peru,-15.07,-73.18,4980,Stratovolcano,Holocene,U,1734,1504001,Peru,7,-8146360.33625176,-1697268.7115644
Cosiguina,Nicaragua,12.98,-87.57,872,Stratovolcano,Historical,D3,1735,140401,Nicaragua,9,-9748247.80876697,1457447.41088571
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,1736,150205,Ecuador,11,-8731455.57986121,-75365.0489693027
Crater Lake,US-Oregon,42.942,-122.107,2487,Caldera,Radiocarbon,D7,1737,120216,United States,12,-13594336.2156746,5301323.19528492
Craters of the Moon,US-Idaho,43.371,-113.493,2005,Cinder cone,Radiocarbon,D7,1738,120402,United States,14,-12634762.2050366,5376120.20492636
Crow Lagoon,Canada,54.7,-130.23,335,Pyroclastic cone,Holocene,U,1739,120011,Canada,15,-14497137.286008,7303858.57970745
Ly Son Group,SE Asia,15.38,109.12,157,Volcanic field,Holocene,U,1740,70502,Vietnam,16,12147182.835362,1733033.05907111
Chachimbiro,Ecuador,0.468,-78.287,4106,Caldera,Radiocarbon,D7,1741,1502002,Ecuador,17,-8714868.97573301,52098.1010125551
Jumaytepeque,Guatemala,14.34,-90.271,1802,Volcanic field,Holocene,U,1742,1402121,Guatemala,18,-10048921.7533996,1613252.97319889
Cumbal,Colombia,0.95,-77.87,4764,Stratovolcano,Historical,D2,1743,150110,Colombia,19,-8668448.74807221,105758.362163809
"Cumbres, Las",Mexico,19.15,-97.27,3940,Stratovolcano,Radiocarbon,D7,1744,1401098,Mexico,20,-10828046.8694617,2172603.9692346
Tafahi,Tonga-SW Pacific,-15.85,-173.72,546,Submarine volcano,Historical,D1,1745,403101,Tonga,21,-19338421.9406075,-1787358.42277544
Curtis Island,Kermadec Is,-30.543,-178.556,47,Submarine volcano,Uncertain,Unknown,1746,40201,New Zealand,22,-19876762.9980838,-3573540.13522438
Dabbahu,Africa-NE,12.595,40.48,1401,Stratovolcano,Holocene,U,1747,201113,Ethiopia,23,4506212.98731171,1413499.30230246
Dabbayra,Africa-NE,12.38,40.07,1302,Shield volcano,Holocene,U,1748,201114,Ethiopia,24,4460571.99608647,1388985.68265546
